molecule_chembl_id,canonical_smiles,pchembl_value,document_year,active,activity_id
CHEMBL309334,N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)c(O)c1,5.6,1989,False,65265
CHEMBL309625,N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)c([N+](=O)[O-])c1,4.22,1989,False,35296
CHEMBL310798,N#CC(C#N)=Cc1cc(O)c(O)c(O)c1,5.52,1989,False,36518
CHEMBL311119,N#CC(C#N)=Cc1ccc(C=O)cc1,4.22,1989,False,53761
CHEMBL73820,N#C/C(=C\c1ccc(O)c(O)c1)C(=O)O,4.6,1989,False,71725
CHEMBL76642,N#C/C(=C/c1cc(O)ccc1O)C(=O)O,4.12,1989,False,57445
CHEMBL76904,N#CC(C#N)=Cc1ccc(O)c(O)c1,4.46,1989,False,34049
CHEMBL76905,N#CC(C#N)=Cc1cc(O)cc(O)c1,4.43,1989,False,53763
CHEMBL76985,N#C/C(=C\c1ccc(C=O)cc1)C(=O)O,4.33,1989,False,49988
CHEMBL77030,N#C/C(=C\c1ccc(O)c(O)c1)C(N)=S,5.62,1989,False,67808
CHEMBL77085,N#CC(C#N)=Cc1cc(O)ccc1[N+](=O)[O-],4.02,1989,False,32780
CHEMBL77243,CCCCc1cc(/C=C(\C#N)C(N)=O)cc(CCCC)c1O,4.26,1989,False,61373
CHEMBL77803,N#CC(C#N)=C(N)/C(C#N)=C/c1cc(O)c(O)c(Br)c1,6.3,1989,False,71728
CHEMBL78257,N#CC(C#N)=C(N)/C(C#N)=C/c1cc(O)c(O)c(O)c1,6.1,1989,False,64040
CHEMBL80155,COc1cc(C=C(C#N)C#N)cc(O)c1O,5.22,1989,False,54990
CHEMBL291313,N#CC(C#N)=C1C(=O)Nc2ccc([N+](=O)[O-])cc21,4.7,1991,False,1154214
CHEMBL291986,N#C/C(=C\c1ccc(O)c(O)c1)C(=O)N1CCN(c2ccccc2)CC1,5.37,1991,False,1170279
CHEMBL293584,N#CC(C#N)=C1CCc2cc(O)c(O)cc21,6.3,1991,False,1183293
CHEMBL296407,N#C/C(=C\c1ccc(O)c(O)c1)C(N)=O,5.4,1991,False,695860
CHEMBL307481,O=[N+]([O-])/C=C/c1ccc(O)cc1,5.0,1991,False,783054
