size,temperature,sampler,seed,burn_in,samples,mean_abs_magnetization,mean_energy,susceptibility,tau_int_magnetization,runtime_seconds,effective_independent_samples
16,2.0,metropolis,7,200,500,0.91290625,-1.74890625,0.31392262499998935,5.555556042430011,0.15833187504904345,44.99999605631726
16,2.0,metropolis,11,200,500,0.91253125,-1.742,0.3073873750000047,6.926481131176687,0.15780104196164757,36.09336332047864
16,2.0,metropolis,13,200,500,0.912640625,-1.7358125,0.25775684375000196,2.3975630646684736,0.15789995802333578,104.27254393601075
16,2.0,wolff,7,200,500,0.913046875,-1.75125,18.155488093749995,10.901577916813427,0.18998741602990776,22.932460044561694
16,2.0,wolff,11,200,500,0.911015625,-1.74275,0.3068273437500011,0.6615361235258519,0.18878304195823148,377.90831234967374
16,2.0,wolff,13,200,500,0.909453125,-1.746375,104.26211934375,55.464277106677585,0.18982862494885921,4.507405722049903
16,2.2,metropolis,7,200,500,0.759296875,-1.5169375,3.5159823579545506,23.03148639834568,0.16151775000616908,10.85470540963249
16,2.2,metropolis,11,200,500,0.827734375,-1.57375,0.7742862215909114,7.538527896219515,0.1598945829900913,33.162973387068334
16,2.2,metropolis,13,200,500,0.816328125,-1.56525,2.09833735795455,10.882186279570456,0.16762324998853728,22.973324806002864
16,2.2,wolff,7,200,500,0.808859375,-1.57084375,54.150335539772726,9.081579248380022,0.18081733299186453,27.52825176795051
16,2.2,wolff,11,200,500,0.81046875,-1.56315625,71.44382602272727,26.640919788095253,0.1774063750053756,9.384060384871354
16,2.2,wolff,13,200,500,0.813453125,-1.57434375,76.48526394886363,14.190249801677677,0.17649312497815117,17.617730730183702
16,2.269,metropolis,7,200,500,0.80290625,-1.51803125,0.960858417805195,7.442496249377378,0.1601498750387691,33.590880213196534
16,2.269,metropolis,11,200,500,0.624015625,-1.3951875,8.134350897972668,42.99919413133138,0.15961541602155194,5.814062450482936
16,2.269,metropolis,13,200,500,0.772046875,-1.4739375,1.0977737714852254,5.667748878104738,0.1592919999966398,44.10922314603299
16,2.269,wolff,7,200,500,0.7553125,-1.493875,49.53504561480828,6.921733972281928,0.1678095840034075,36.118117367862524
16,2.269,wolff,11,200,500,0.738,-1.479125,64.72083913618334,16.757920574683705,0.16531766700791195,14.918318707016462
16,2.269,wolff,13,200,500,0.74728125,-1.48953125,61.643111613045384,18.983469775110898,0.166378874971997,13.169352229157461
16,2.4,metropolis,7,200,500,0.471609375,-1.25678125,27.92181924479167,88.05446855805339,0.1599428750341758,2.839151767013137
16,2.4,metropolis,11,200,500,0.55690625,-1.289125,28.583955104166666,48.6550295621529,0.16104258398991078,5.138214944061334
16,2.4,metropolis,13,200,500,0.508921875,-1.22915625,12.075501953124999,58.615759355887576,0.1653022919781506,4.265064596060532
16,2.4,wolff,7,200,500,0.613046875,-1.318875,44.481737994791665,2.2141084104590543,0.15685233299154788,112.91226699607141
16,2.4,wolff,11,200,500,0.61409375,-1.32503125,45.024965208333334,3.707259354573737,0.15569945803144947,67.43526041456172
16,2.4,wolff,13,200,500,0.5978125,-1.30603125,42.7901171875,3.457419822455239,0.1602772909682244,72.3082566879211
16,2.6,metropolis,7,200,500,0.24153125,-0.9956875,6.907718749999999,14.993437369276144,0.1602388329920359,16.67396167020969
16,2.6,metropolis,11,200,500,0.31828125,-1.0463125,10.743234999999999,33.262464093696074,0.15943633299320936,7.515979552680831
16,2.6,metropolis,13,200,500,0.240703125,-1.00684375,7.955006033653846,39.59698841423209,0.16090229101246223,6.313611464202771
16,2.6,wolff,7,200,500,0.400578125,-1.113375,20.232999302884615,0.8428057109803941,0.14682949997950345,296.62827000684103
16,2.6,wolff,11,200,500,0.390625,-1.1028125,19.016238557692308,0.7340395808734447,0.14330104197142646,340.5810892411568
16,2.6,wolff,13,200,500,0.40471875,-1.11625,20.546450865384617,0.770884610706213,0.14448079199064523,324.3027510576106
32,2.0,metropolis,7,200,500,0.91086328125,-1.7412421875,0.29542764843745317,3.877668615398387,0.6722292499616742,64.47172896808134
32,2.0,metropolis,11,200,500,0.913078125,-1.748234375,0.2902226250000126,4.582811860465323,0.6747784579638392,54.55166120972198
32,2.0,metropolis,13,200,500,0.15071875,-1.53553125,17.1692101875,51.005712370382525,0.6764658750034869,4.9014117905971535
32,2.0,wolff,7,200,500,0.91371875,-1.7487578125,0.3590410625000118,0.601159447368578,0.8091560829780065,415.86304780588773
32,2.0,wolff,11,200,500,0.9112109375,-1.7465703125,0.38214140624995707,0.516259623497098,0.8054518330027349,484.25247418444553
32,2.0,wolff,13,200,500,0.91153515625,-1.7472265625,0.3807569609374468,0.6481920819104989,0.7943491250043735,385.68814241473484
32,2.2,metropolis,7,200,500,0.82179296875,-1.575765625,2.1396864985795943,10.271415994465027,0.6744107500417158,24.339390025164775
32,2.2,metropolis,11,200,500,0.76221875,-1.5355390625,3.978477386363682,38.30948145592925,0.6733545410097577,6.525799632333757
32,2.2,metropolis,13,200,500,0.8239296875,-1.5726640625,0.992894346590922,9.583781109413719,0.6728865419863723,26.085737679717685
32,2.2,wolff,7,200,500,0.790265625,-1.5504765625,294.7082952840909,92.06235613008724,0.740046041959431,2.7155507474384155
32,2.2,wolff,11,200,500,0.79391015625,-1.55078125,283.62318280539773,45.51191170301761,0.7248513750382699,5.493067433232519
32,2.2,wolff,13,200,500,0.80584375,-1.564296875,218.04880749999998,25.111976816980345,0.7282690419815481,9.955408999539761
32,2.269,metropolis,7,200,500,0.366546875,-1.3588359375,52.72180905685323,95.04926199717872,0.671556709043216,2.6302150563506803
32,2.269,metropolis,11,200,500,0.73583984375,-1.4800859375,3.2888584935544465,32.36353819389038,0.6769456659676507,7.724742532854311
32,2.269,metropolis,13,200,500,0.38088671875,-1.330265625,12.283863010962966,24.696257208660562,0.6691822920111008,10.122991426908577
32,2.269,wolff,7,200,500,0.6859140625,-1.442875,221.48684128470688,12.642803315262235,0.6758070840151049,19.7740954886329
32,2.269,wolff,11,200,500,0.7035,-1.454015625,228.86470744270602,9.67308922770916,0.6709830419858918,25.844897541507176
32,2.269,wolff,13,200,500,0.70768359375,-1.4631953125,217.16672319165934,13.097114037285802,0.817031082988251,19.088174638189916
32,2.4,metropolis,7,200,500,0.4256328125,-1.2403046875,20.334020546874996,70.11200468622873,0.6854279160033911,3.565723175636205
32,2.4,metropolis,11,200,500,0.51175390625,-1.2813046875,7.952528769531284,24.424546035625436,0.6710654579801485,10.235604773794039
32,2.4,metropolis,13,200,500,0.15099609375,-1.2011171875,11.012558925781251,50.62869241250984,0.6730181659804657,4.937911450745418
32,2.4,wolff,7,200,500,0.42258984375,-1.2575546875,92.64771991536459,0.8855903814638072,0.5952005420112982,282.29755565634173
32,2.4,wolff,11,200,500,0.42447265625,-1.254515625,90.34163106119792,0.8628438850443744,0.5921523749711923,289.7395511902399
32,2.4,wolff,13,200,500,0.41084765625,-1.2613515625,88.79139017578125,1.6424099949481288,0.5945087499567308,152.21534255695735
32,2.6,metropolis,7,200,500,0.12153515625,-1.0229453125,8.92562006610577,28.712275288569682,0.6760477499919944,8.707077286192106
32,2.6,metropolis,11,200,500,0.1845234375,-1.029390625,17.626329423076925,53.38087665609038,0.6736735830199905,4.683325109301606
32,2.6,metropolis,13,200,500,0.17108984375,-1.030046875,15.525478239182691,40.10279355764802,0.6785541250137612,6.2339796762692705
32,2.6,wolff,7,200,500,0.16916796875,-1.043359375,16.827850354567307,0.5,0.5739611659664661,500.0
32,2.6,wolff,11,200,500,0.1717578125,-1.041546875,17.03998326923077,0.5,0.5864200830110349,500.0
32,2.6,wolff,13,200,500,0.175515625,-1.0464765625,18.118993725961538,0.5089721340304059,0.5990074590081349,491.18602627676484
