controller,split,episode,target_rad,kp,ki,kd,rmse_rad,overshoot_rad,settling_time_s,energy_torque2_s,stable
baseline,development,dev-1,1.00000000,4.00000000,1.00000000,0.15000000,0.38087862,0.52312845,5.00000000,11.31579523,True
baseline,development,dev-2,1.00000000,4.00000000,1.00000000,0.15000000,0.33838464,0.39308150,5.00000000,8.88509616,True
searched,development,dev-1,1.00000000,5.50000000,0.40000000,0.30000000,0.31780405,0.38663992,5.00000000,13.83498557,True
searched,development,dev-2,1.00000000,5.50000000,0.40000000,0.30000000,0.29878668,0.30542343,4.53000000,12.07539715,True
baseline,holdout,holdout-1,0.75000000,4.00000000,1.00000000,0.15000000,0.28737608,0.41312356,5.00000000,6.50794494,True
baseline,holdout,holdout-2,1.25000000,4.00000000,1.00000000,0.15000000,0.42903411,0.51661270,5.00000000,14.26880639,True
baseline,holdout,holdout-3,1.00000000,4.00000000,1.00000000,0.15000000,0.36875100,0.48361614,5.00000000,10.51972086,True
searched,holdout,holdout-1,0.75000000,5.50000000,0.40000000,0.30000000,0.24114993,0.31566452,4.62000000,8.02576341,True
searched,holdout,holdout-2,1.25000000,5.50000000,0.40000000,0.30000000,0.37962648,0.41150016,4.74000000,19.56097236,True
searched,holdout,holdout-3,1.00000000,5.50000000,0.40000000,0.30000000,0.30992375,0.38663992,2.88000000,13.04072648,True
