rank,kp,ki,kd,mean_dev_rmse,mean_dev_overshoot,mean_dev_settling_time_s,mean_dev_energy,stable_episodes,selected
1,5.50000000,0.40000000,0.30000000,0.30829536,0.34603168,4.76500000,12.95519136,2,True
2,5.50000000,0.40000000,0.15000000,0.31528698,0.38834552,4.78000000,14.33890035,2,False
3,5.50000000,1.00000000,0.30000000,0.32016754,0.40658749,4.82500000,14.12562674,2,False
4,5.50000000,0.40000000,0.05000000,0.32131310,0.41869470,5.00000000,15.44396852,2,False
5,5.50000000,1.00000000,0.15000000,0.32874216,0.44935345,4.82500000,15.75226111,2,False
6,4.00000000,0.40000000,0.30000000,0.33268536,0.32568698,4.78500000,7.86615195,2,False
7,5.50000000,1.60000000,0.30000000,0.33328503,0.46453174,4.84000000,15.53362006,2,False
8,5.50000000,1.00000000,0.05000000,0.33609746,0.48004908,5.00000000,17.06966085,2,False
9,4.00000000,0.40000000,0.15000000,0.33825987,0.36376687,4.98000000,8.71185301,2,False
10,4.00000000,0.40000000,0.05000000,0.34331485,0.39181961,5.00000000,9.38623338,2,False
11,5.50000000,1.60000000,0.15000000,0.34377686,0.50776693,5.00000000,17.47640951,2,False
12,4.00000000,1.00000000,0.30000000,0.35185780,0.41953142,4.51500000,9.02899163,2,False
13,5.50000000,1.60000000,0.05000000,0.35275814,0.53882243,5.00000000,19.07434081,2,False
14,4.00000000,1.00000000,0.15000000,0.35963163,0.45810497,5.00000000,10.10044569,2,False
15,4.00000000,1.00000000,0.05000000,0.36655444,0.48657530,5.00000000,10.97053615,2,False
16,4.00000000,1.60000000,0.30000000,0.37355770,0.50467487,4.59500000,10.54370781,2,False
17,4.00000000,1.60000000,0.15000000,0.38426735,0.54403449,5.00000000,11.93884387,2,False
18,2.50000000,0.40000000,0.30000000,0.38652208,0.34247266,4.94500000,4.09644992,2,False
19,2.50000000,0.40000000,0.15000000,0.39122812,0.37546004,4.80500000,4.57045923,2,False
20,4.00000000,1.60000000,0.05000000,0.39370955,0.57310243,5.00000000,13.09487302,2,False
21,2.50000000,0.40000000,0.05000000,0.39587629,0.40436018,5.00000000,4.95324489,2,False
22,2.50000000,1.00000000,0.30000000,0.42805113,0.50687834,5.00000000,5.45728842,2,False
23,2.50000000,1.00000000,0.15000000,0.43772329,0.54695476,5.00000000,6.20301747,2,False
24,2.50000000,1.00000000,0.05000000,0.44665327,0.57697117,5.00000000,6.82571859,2,False
25,2.50000000,1.60000000,0.30000000,0.47630700,0.64649630,5.00000000,7.54939159,2,False
26,2.50000000,1.60000000,0.15000000,0.49428828,0.68884695,5.00000000,8.80265969,2,False
27,2.50000000,1.60000000,0.05000000,0.50975272,0.72043291,5.00000000,9.88476632,2,False
